@relation iris
@attribute SepalLength real [4.3,7.9]
@attribute SepalWidth real [2.0,4.4]
@attribute PetalLength real [1.0,6.9]
@attribute PetalWidth real [0.1,2.5]
@attribute Class {0,1,2}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.4,3.9,1.7,0.4,0
5.7,3.8,1.7,0.3,0
4.8,3.4,1.9,0.2,0
5.5,4.2,1.4,0.2,0
5.3,3.7,1.5,0.2,0
6.0,2.2,4.0,1.0,1
6.1,2.9,4.7,1.4,1
6.0,2.7,5.1,1.6,1
6.1,3.0,4.6,1.4,1
5.7,2.9,4.2,1.3,1
7.3,2.9,6.3,1.8,2
6.5,3.2,5.1,2.0,2
6.4,3.2,5.3,2.3,2
7.2,3.2,6.0,1.8,2
5.9,3.0,5.1,1.8,2
