@relation iris
@attribute SepalLength real [4.3,7.9]
@attribute SepalWidth real [2.0,4.4]
@attribute PetalLength real [1.0,6.9]
@attribute PetalWidth real [0.1,2.5]
@attribute Class {0,1,2}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.1,3.8,1.5,0.3,0
5.2,3.4,1.4,0.2,0
5.2,4.1,1.5,0.1,0
4.4,3.0,1.3,0.2,0
5.1,3.8,1.6,0.2,0
6.3,3.3,4.7,1.6,1
5.6,3.0,4.5,1.5,1
6.2,2.2,4.5,1.5,1
5.7,2.6,3.5,1.0,1
6.3,2.3,4.4,1.3,1
6.3,3.3,6.0,2.5,2
5.8,2.7,5.1,1.9,2
5.8,2.8,5.1,2.4,2
7.4,2.8,6.1,1.9,2
6.3,2.8,5.1,1.5,2
