@relation iris
@attribute SepalLength real [4.3,7.9]
@attribute SepalWidth real [2.0,4.4]
@attribute PetalLength real [1.0,6.9]
@attribute PetalWidth real [0.1,2.5]
@attribute Class {0,1,2}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.4,3.9,1.3,0.4,0
5.2,3.5,1.5,0.2,0
4.7,3.2,1.6,0.2,0
4.9,3.1,1.5,0.1,0
5.1,3.8,1.9,0.4,0
6.4,3.2,4.5,1.5,1
5.2,2.7,3.9,1.4,1
5.6,2.9,3.6,1.3,1
5.5,2.5,4.0,1.3,1
5.7,3.0,4.2,1.2,1
5.7,2.5,5.0,2.0,2
6.7,3.3,5.7,2.1,2
6.0,3.0,4.8,1.8,2
5.8,2.7,5.1,1.9,2
6.7,3.3,5.7,2.5,2
